scenario,node,lon,lat
OSM_LARGE,144,-3.195876,55.950237
OSM_LARGE,145,-3.195863,55.949151
OSM_LARGE,146,-3.195858,55.949142
OSM_LARGE,147,-3.195826,55.943335
OSM_LARGE,148,-3.195825,55.950214
OSM_LARGE,149,-3.195808,55.949769
OSM_LARGE,150,-3.195787,55.947426
OSM_LARGE,151,-3.195769,55.948913
OSM_LARGE,152,-3.195761,55.950199
OSM_LARGE,153,-3.195754,55.944895
OSM_LARGE,154,-3.195703,55.943344
OSM_LARGE,155,-3.195688,55.950192
OSM_LARGE,156,-3.195624,55.949816
OSM_LARGE,157,-3.19552,55.945875
OSM_LARGE,158,-3.195371,55.944004
OSM_LARGE,159,-3.19534,55.949868
OSM_LARGE,160,-3.195321,55.947542
OSM_LARGE,161,-3.195313,55.943371
OSM_LARGE,162,-3.195307,55.943343
OSM_LARGE,163,-3.195305,55.943334
OSM_LARGE,164,-3.195299,55.949875
OSM_LARGE,165,-3.195251,55.947444
OSM_LARGE,166,-3.195235,55.946852
OSM_LARGE,167,-3.195212,55.9502
OSM_LARGE,168,-3.195187,55.944015
OSM_LARGE,169,-3.195175,55.947329
OSM_LARGE,170,-3.195173,55.9502
OSM_LARGE,171,-3.195172,55.945064
OSM_LARGE,172,-3.195157,55.947583
OSM_LARGE,173,-3.195141,55.945032
OSM_LARGE,174,-3.19514,55.950198
OSM_LARGE,175,-3.195116,55.945
OSM_LARGE,176,-3.195115,55.947238
OSM_LARGE,177,-3.195102,55.944975
OSM_LARGE,178,-3.1951,55.950193
OSM_LARGE,179,-3.195075,55.944287
OSM_LARGE,180,-3.195062,55.944898
OSM_LARGE,181,-3.19506,55.950185
OSM_LARGE,182,-3.195021,55.950174
OSM_LARGE,183,-3.195015,55.944024
OSM_LARGE,184,-3.194994,55.947624
OSM_LARGE,185,-3.194949,55.945976
OSM_LARGE,186,-3.194948,55.945994
OSM_LARGE,187,-3.194945,55.945955
OSM_LARGE,188,-3.194944,55.946007
OSM_LARGE,189,-3.194942,55.944901
OSM_LARGE,190,-3.194939,55.946019
OSM_LARGE,191,-3.194935,55.945932
