scenario,u,v,distance_m,speed_mps,congest_base
OSM_SMALL,0,1,7.203922517393237,13.353623881781818,0.1666666666111111
OSM_SMALL,1,2,6.129425863615508,10.23343653019719,0.3333333332222222
OSM_SMALL,2,3,12.994099688487436,10.614842795966586,0.3333333332222222
OSM_SMALL,3,4,24.200012204659554,11.732276138957104,0.3333333332222222
OSM_SMALL,4,5,28.628337367774876,9.624057239585142,0.4999999998333333
OSM_SMALL,5,10,13.049369342839782,10.44017486576709,0.4999999998333333
OSM_SMALL,5,6,3.5010859791735314,9.502577967296894,0.4999999998333333
OSM_SMALL,6,7,4.244070834407219,10.684616542289016,0.3333333332222222
OSM_SMALL,7,8,3.932764049720861,12.39023051934586,0.3333333332222222
OSM_SMALL,8,9,4.072428240326402,11.94786748889511,0.3333333332222222
OSM_SMALL,9,11,4.4402125367718295,9.978027316760258,0.3333333332222222
OSM_SMALL,10,14,18.063041034612002,10.811367879990945,0.3333333332222222
OSM_SMALL,11,49,58.739266915162375,10.177313102373526,0.3333333332222222
OSM_SMALL,12,13,3.6507156081464442,13.473989283364263,0.1666666666111111
OSM_SMALL,13,16,3.8498295297694933,10.819320136843231,0.3333333332222222
OSM_SMALL,14,15,2.1586819111358504,11.651837437696159,0.3333333332222222
OSM_SMALL,15,17,1.7799370188324033,10.283852956930499,0.3333333332222222
OSM_SMALL,16,19,4.649892984578408,11.011080419040498,0.3333333332222222
OSM_SMALL,17,18,1.6339800197027277,12.218810961851336,0.3333333332222222
OSM_SMALL,18,35,54.33677687100982,10.169226412884454,0.3333333332222222
OSM_SMALL,19,20,4.9365428622229635,10.086697982721756,0.3333333332222222
OSM_SMALL,20,21,2.4974949741263024,11.505246127276353,0.3333333332222222
OSM_SMALL,21,24,2.2422739023177267,12.098965207950965,0.3333333332222222
OSM_SMALL,22,31,14.138564186570314,11.826323322650946,0.3333333332222222
OSM_SMALL,22,56,32.732714516512296,9.583627554961428,0.3333333332222222
OSM_SMALL,23,39,65.64414198067752,11.760902344351205,0.3333333332222222
OSM_SMALL,24,28,5.524134395773301,9.465855681185536,0.3333333332222222
OSM_SMALL,25,26,3.041044145483207,11.613811856025665,0.1666666666111111
OSM_SMALL,26,27,2.47163305692948,10.710746362934204,0.3333333332222222
OSM_SMALL,27,29,4.112604369491845,10.854293213045624,0.3333333332222222
OSM_SMALL,28,30,3.5493322038987323,10.480136046357348,0.3333333332222222
OSM_SMALL,29,33,9.377626974761315,11.391094832103922,0.3333333332222222
OSM_SMALL,30,32,3.965764269096205,11.174927872218088,0.3333333332222222
OSM_SMALL,31,34,4.9644525645370585,11.967959782672883,0.3333333332222222
OSM_SMALL,32,41,7.584726086207623,11.661424985628164,0.3333333332222222
OSM_SMALL,33,42,10.484675280116036,10.387977664711544,0.4999999998333333
OSM_SMALL,34,36,3.606992048249448,9.933126462885838,0.3333333332222222
