scenario,node,lon,lat
OSM_SMALL,144,-3.189557,55.945629
OSM_SMALL,145,-3.189532,55.945905
OSM_SMALL,146,-3.189526,55.947932
OSM_SMALL,147,-3.189521,55.945776
OSM_SMALL,148,-3.189503,55.94565
OSM_SMALL,149,-3.189495,55.945887
OSM_SMALL,150,-3.189485,55.945809
OSM_SMALL,151,-3.189479,55.945861
OSM_SMALL,152,-3.189477,55.945846
OSM_SMALL,153,-3.189451,55.945884
OSM_SMALL,154,-3.18945,55.945681
OSM_SMALL,155,-3.189446,55.946532
OSM_SMALL,156,-3.189415,55.947948
OSM_SMALL,157,-3.189406,55.947529
OSM_SMALL,158,-3.189393,55.945887
OSM_SMALL,159,-3.189334,55.945898
OSM_SMALL,160,-3.189315,55.947898
OSM_SMALL,161,-3.189312,55.94577
OSM_SMALL,162,-3.189284,55.945914
OSM_SMALL,163,-3.189264,55.945807
OSM_SMALL,164,-3.189247,55.945932
OSM_SMALL,165,-3.189219,55.945952
OSM_SMALL,166,-3.18921,55.945849
OSM_SMALL,167,-3.18902,55.945997
OSM_SMALL,168,-3.188903,55.946306
OSM_SMALL,169,-3.18882,55.946272
OSM_SMALL,170,-3.188735,55.946334
OSM_SMALL,171,-3.188673,55.948029
OSM_SMALL,172,-3.188661,55.946272
OSM_SMALL,173,-3.188558,55.947713
OSM_SMALL,174,-3.188545,55.946469
OSM_SMALL,175,-3.188493,55.946509
OSM_SMALL,176,-3.188492,55.946392
OSM_SMALL,177,-3.188487,55.94774
OSM_SMALL,178,-3.188432,55.947757
OSM_SMALL,179,-3.188427,55.946544
OSM_SMALL,180,-3.188423,55.947758
OSM_SMALL,181,-3.188401,55.946456
OSM_SMALL,182,-3.188392,55.947698
OSM_SMALL,183,-3.188342,55.94658
OSM_SMALL,184,-3.188329,55.946495
OSM_SMALL,185,-3.188259,55.946605
OSM_SMALL,186,-3.188254,55.946527
OSM_SMALL,187,-3.188237,55.947692
OSM_SMALL,188,-3.188233,55.9474
OSM_SMALL,189,-3.188213,55.947365
OSM_SMALL,190,-3.188165,55.946549
OSM_SMALL,191,-3.188157,55.946623
OSM_SMALL,192,-3.188089,55.946558
OSM_SMALL,193,-3.188082,55.947132
OSM_SMALL,194,-3.188051,55.946628
OSM_SMALL,195,-3.187993,55.94656
OSM_SMALL,196,-3.18797,55.946899
OSM_SMALL,197,-3.187962,55.946629
OSM_SMALL,198,-3.187935,55.946882
OSM_SMALL,199,-3.187911,55.946551
OSM_SMALL,200,-3.18789,55.946623
OSM_SMALL,201,-3.187833,55.946534
OSM_SMALL,202,-3.187819,55.946609
OSM_SMALL,203,-3.1878,55.945512
OSM_SMALL,204,-3.187765,55.946509
OSM_SMALL,205,-3.187739,55.946582
OSM_SMALL,206,-3.187735,55.945585
OSM_SMALL,207,-3.187707,55.945526
OSM_SMALL,208,-3.187699,55.946478
OSM_SMALL,209,-3.187673,55.946553
OSM_SMALL,210,-3.187645,55.946445
OSM_SMALL,211,-3.187639,55.947899
OSM_SMALL,212,-3.187615,55.946513
OSM_SMALL,213,-3.187588,55.94641
OSM_SMALL,214,-3.187588,55.94781
OSM_SMALL,215,-3.187576,55.946475
OSM_SMALL,216,-3.187542,55.946426
OSM_SMALL,217,-3.18754,55.945972
OSM_SMALL,218,-3.187519,55.945927
OSM_SMALL,219,-3.187499,55.94635
OSM_SMALL,220,-3.187383,55.945981
OSM_SMALL,221,-3.18734,55.946972
OSM_SMALL,222,-3.187337,55.946149
OSM_SMALL,223,-3.187307,55.946919
OSM_SMALL,224,-3.187235,55.946015
OSM_SMALL,225,-3.187235,55.946802
OSM_SMALL,226,-3.187222,55.945598
OSM_SMALL,227,-3.187165,55.945925
OSM_SMALL,228,-3.187114,55.946603
OSM_SMALL,229,-3.187113,55.945615
OSM_SMALL,230,-3.187092,55.945824
OSM_SMALL,231,-3.187051,55.945951
OSM_SMALL,232,-3.187037,55.945749
OSM_SMALL,233,-3.187009,55.94596
OSM_SMALL,234,-3.186961,55.945644
OSM_SMALL,235,-3.186915,55.945576
OSM_SMALL,236,-3.186877,55.945521
OSM_SMALL,237,-3.186854,55.945487
OSM_SMALL,238,-3.18685,55.945672
OSM_SMALL,239,-3.186774,55.945371
OSM_SMALL,240,-3.186637,55.947968
OSM_SMALL,241,-3.18662,55.945146
OSM_SMALL,242,-3.186521,55.945015
OSM_SMALL,243,-3.186477,55.947995
OSM_SMALL,244,-3.186451,55.944921
OSM_SMALL,245,-3.186286,55.944702
OSM_SMALL,246,-3.186279,55.945817
OSM_SMALL,247,-3.186056,55.947189
