scenario,node,lon,lat
OSM_MEDIUM,132,-3.190813,55.946448
OSM_MEDIUM,133,-3.190778,55.945406
OSM_MEDIUM,134,-3.190774,55.946525
OSM_MEDIUM,135,-3.190747,55.946456
OSM_MEDIUM,136,-3.190727,55.945194
OSM_MEDIUM,137,-3.190705,55.945198
OSM_MEDIUM,138,-3.190699,55.946459
OSM_MEDIUM,139,-3.190689,55.945201
OSM_MEDIUM,140,-3.190675,55.94541
OSM_MEDIUM,141,-3.19065,55.946458
OSM_MEDIUM,142,-3.190625,55.944996
OSM_MEDIUM,143,-3.190616,55.944979
OSM_MEDIUM,144,-3.190597,55.947245
OSM_MEDIUM,145,-3.190594,55.946487
OSM_MEDIUM,146,-3.190548,55.94726
OSM_MEDIUM,147,-3.190544,55.944012
OSM_MEDIUM,148,-3.190539,55.945115
OSM_MEDIUM,149,-3.190488,55.948387
OSM_MEDIUM,150,-3.190478,55.94272
OSM_MEDIUM,151,-3.190461,55.947287
OSM_MEDIUM,152,-3.19038,55.945469
OSM_MEDIUM,153,-3.190354,55.945423
OSM_MEDIUM,154,-3.190331,55.945265
OSM_MEDIUM,155,-3.190326,55.945256
OSM_MEDIUM,156,-3.190323,55.945369
OSM_MEDIUM,157,-3.190316,55.947332
OSM_MEDIUM,158,-3.190294,55.948721
OSM_MEDIUM,159,-3.190271,55.94516
OSM_MEDIUM,160,-3.190264,55.945267
OSM_MEDIUM,161,-3.190257,55.943438
OSM_MEDIUM,162,-3.190257,55.948614
OSM_MEDIUM,163,-3.190233,55.945273
OSM_MEDIUM,164,-3.190212,55.94517
OSM_MEDIUM,165,-3.190202,55.945288
OSM_MEDIUM,166,-3.190198,55.945279
OSM_MEDIUM,167,-3.190162,55.944477
OSM_MEDIUM,168,-3.190148,55.945297
OSM_MEDIUM,169,-3.190145,55.945056
OSM_MEDIUM,170,-3.190144,55.945052
OSM_MEDIUM,171,-3.190119,55.94506
OSM_MEDIUM,172,-3.190108,55.945185
OSM_MEDIUM,173,-3.190107,55.948007
OSM_MEDIUM,174,-3.190092,55.945064
OSM_MEDIUM,175,-3.190091,55.945151
OSM_MEDIUM,176,-3.19009,55.94506
OSM_MEDIUM,177,-3.190087,55.945189
OSM_MEDIUM,178,-3.190079,55.945153
OSM_MEDIUM,179,-3.190071,55.945147
OSM_MEDIUM,180,-3.19006,55.945143
OSM_MEDIUM,181,-3.190053,55.948748
OSM_MEDIUM,182,-3.190049,55.945139
OSM_MEDIUM,183,-3.190045,55.945536
OSM_MEDIUM,184,-3.190036,55.945136
OSM_MEDIUM,185,-3.190034,55.944498
OSM_MEDIUM,186,-3.190026,55.947875
OSM_MEDIUM,187,-3.190018,55.945099
OSM_MEDIUM,188,-3.190012,55.945086
OSM_MEDIUM,189,-3.190005,55.945073
OSM_MEDIUM,190,-3.189985,55.945551
OSM_MEDIUM,191,-3.189984,55.942934
OSM_MEDIUM,192,-3.189964,55.946657
OSM_MEDIUM,193,-3.189936,55.948649
OSM_MEDIUM,194,-3.189933,55.945566
OSM_MEDIUM,195,-3.189919,55.942615
OSM_MEDIUM,196,-3.18989,55.945582
OSM_MEDIUM,197,-3.189887,55.94806
OSM_MEDIUM,198,-3.189867,55.948454
OSM_MEDIUM,199,-3.189836,55.942628
OSM_MEDIUM,200,-3.189826,55.945584
OSM_MEDIUM,201,-3.1898,55.945622
OSM_MEDIUM,202,-3.189777,55.947902
OSM_MEDIUM,203,-3.189763,55.94867
OSM_MEDIUM,204,-3.189758,55.945587
OSM_MEDIUM,205,-3.189731,55.945655
OSM_MEDIUM,206,-3.189726,55.948649
OSM_MEDIUM,207,-3.189684,55.945597
OSM_MEDIUM,208,-3.189678,55.948533
OSM_MEDIUM,209,-3.189665,55.94569
OSM_MEDIUM,210,-3.189659,55.948476
OSM_MEDIUM,211,-3.189654,55.947915
OSM_MEDIUM,212,-3.189617,55.945611
OSM_MEDIUM,213,-3.189588,55.949533
OSM_MEDIUM,214,-3.189587,55.945734
OSM_MEDIUM,215,-3.189557,55.945629
OSM_MEDIUM,216,-3.189541,55.94916
OSM_MEDIUM,217,-3.189532,55.945905
OSM_MEDIUM,218,-3.189526,55.947932
OSM_MEDIUM,219,-3.189524,55.949123
OSM_MEDIUM,220,-3.189521,55.945776
OSM_MEDIUM,221,-3.189512,55.949191
OSM_MEDIUM,222,-3.189503,55.94565
OSM_MEDIUM,223,-3.189495,55.945887
OSM_MEDIUM,224,-3.189485,55.945809
OSM_MEDIUM,225,-3.189479,55.945861
OSM_MEDIUM,226,-3.189477,55.945846
OSM_MEDIUM,227,-3.189458,55.949248
OSM_MEDIUM,228,-3.189451,55.945884
OSM_MEDIUM,229,-3.18945,55.945681
OSM_MEDIUM,230,-3.189447,55.944589
OSM_MEDIUM,231,-3.189446,55.946532
OSM_MEDIUM,232,-3.189421,55.948001
OSM_MEDIUM,233,-3.189415,55.947948
OSM_MEDIUM,234,-3.189406,55.947529
OSM_MEDIUM,235,-3.189402,55.948861
OSM_MEDIUM,236,-3.189393,55.945887
OSM_MEDIUM,237,-3.189385,55.948721
OSM_MEDIUM,238,-3.18934,55.948727
OSM_MEDIUM,239,-3.189334,55.945898
OSM_MEDIUM,240,-3.189315,55.947898
OSM_MEDIUM,241,-3.189312,55.94577
OSM_MEDIUM,242,-3.189284,55.945914
OSM_MEDIUM,243,-3.189264,55.944212
OSM_MEDIUM,244,-3.189264,55.945807
OSM_MEDIUM,245,-3.189247,55.945932
OSM_MEDIUM,246,-3.189245,55.948521
OSM_MEDIUM,247,-3.189219,55.945952
OSM_MEDIUM,248,-3.18921,55.945849
OSM_MEDIUM,249,-3.189206,55.948238
OSM_MEDIUM,250,-3.189155,55.948068
OSM_MEDIUM,251,-3.189148,55.949022
OSM_MEDIUM,252,-3.189097,55.944238
OSM_MEDIUM,253,-3.18902,55.945997
OSM_MEDIUM,254,-3.189002,55.948275
OSM_MEDIUM,255,-3.188996,55.94874
OSM_MEDIUM,256,-3.188945,55.94855
OSM_MEDIUM,257,-3.188903,55.946306
OSM_MEDIUM,258,-3.188884,55.948556
OSM_MEDIUM,259,-3.188844,55.948297
OSM_MEDIUM,260,-3.18882,55.946272
OSM_MEDIUM,261,-3.188755,55.948309
OSM_MEDIUM,262,-3.188735,55.946334
OSM_MEDIUM,263,-3.188726,55.948771
OSM_MEDIUM,264,-3.18868,55.948776
OSM_MEDIUM,265,-3.188673,55.948029
OSM_MEDIUM,266,-3.188661,55.946272
OSM_MEDIUM,267,-3.188661,55.948144
OSM_MEDIUM,268,-3.188658,55.948574
OSM_MEDIUM,269,-3.188652,55.948132
OSM_MEDIUM,270,-3.188634,55.948121
OSM_MEDIUM,271,-3.188614,55.948114
OSM_MEDIUM,272,-3.188586,55.948114
OSM_MEDIUM,273,-3.188558,55.947713
OSM_MEDIUM,274,-3.188545,55.946469
OSM_MEDIUM,275,-3.188545,55.948118
OSM_MEDIUM,276,-3.188493,55.946509
OSM_MEDIUM,277,-3.188492,55.946392
OSM_MEDIUM,278,-3.188487,55.94774
OSM_MEDIUM,279,-3.188432,55.947757
OSM_MEDIUM,280,-3.188427,55.946544
OSM_MEDIUM,281,-3.188423,55.947758
OSM_MEDIUM,282,-3.188401,55.946456
OSM_MEDIUM,283,-3.188392,55.947698
OSM_MEDIUM,284,-3.188342,55.94658
OSM_MEDIUM,285,-3.188329,55.946495
OSM_MEDIUM,286,-3.188259,55.946605
OSM_MEDIUM,287,-3.188254,55.946527
OSM_MEDIUM,288,-3.188242,55.948826
OSM_MEDIUM,289,-3.188237,55.947692
OSM_MEDIUM,290,-3.188233,55.9474
OSM_MEDIUM,291,-3.188213,55.947365
OSM_MEDIUM,292,-3.188193,55.94861
OSM_MEDIUM,293,-3.188165,55.946549
OSM_MEDIUM,294,-3.188165,55.949196
OSM_MEDIUM,295,-3.188157,55.946623
OSM_MEDIUM,296,-3.18811,55.949072
OSM_MEDIUM,297,-3.1881,55.944794
OSM_MEDIUM,298,-3.188089,55.946558
OSM_MEDIUM,299,-3.188082,55.947132
OSM_MEDIUM,300,-3.188051,55.946628
OSM_MEDIUM,301,-3.188032,55.948895
OSM_MEDIUM,302,-3.188013,55.948852
OSM_MEDIUM,303,-3.187993,55.94656
OSM_MEDIUM,304,-3.18797,55.946899
OSM_MEDIUM,305,-3.187962,55.946629
OSM_MEDIUM,306,-3.187958,55.944956
OSM_MEDIUM,307,-3.187935,55.946882
OSM_MEDIUM,308,-3.187918,55.948631
OSM_MEDIUM,309,-3.187911,55.946551
OSM_MEDIUM,310,-3.18789,55.946623
OSM_MEDIUM,311,-3.187889,55.944828
OSM_MEDIUM,312,-3.187837,55.949631
OSM_MEDIUM,313,-3.187833,55.946534
OSM_MEDIUM,314,-3.187826,55.948237
OSM_MEDIUM,315,-3.187819,55.946609
OSM_MEDIUM,316,-3.1878,55.945512
