u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
55,59,3.966,-3.1914570,55.9460200,-3.1913930,55.9460180,11.396980,0.250000
56,62,6.048,-3.1914350,55.9453670,-3.1913530,55.9453970,10.636601,0.250000
57,61,4.964,-3.1914280,55.9453160,-3.1913610,55.9453390,10.164905,0.250000
58,63,108.379,-3.1914220,55.9426000,-3.1913440,55.9435730,12.511774,0.125000
59,75,7.585,-3.1913930,55.9460180,-3.1912720,55.9460130,12.033546,0.250000
60,77,10.485,-3.1913640,55.9467610,-3.1912580,55.9468340,10.368218,0.375000
61,66,3.607,-3.1913610,55.9453390,-3.1913160,55.9453600,12.423434,0.250000
62,65,2.948,-3.1913530,55.9453970,-3.1913250,55.9454180,11.181527,0.375000
63,68,41.595,-3.1913440,55.9435730,-3.1913140,55.9439470,11.999798,0.250000
64,67,2.800,-3.1913420,55.9468710,-3.1913150,55.9468500,12.468402,0.250000
65,69,1.142,-3.1913250,55.9454180,-3.1913090,55.9454130,9.122734,0.375000
65,89,14.510,-3.1913250,55.9454180,-3.1911900,55.9455240,8.234981,0.500000
66,73,3.082,-3.1913160,55.9453600,-3.1912790,55.9453790,11.780399,0.250000
67,71,2.405,-3.1913150,55.9468500,-3.1912860,55.9468360,12.041408,0.250000
68,70,27.558,-3.1913140,55.9439470,-3.1912950,55.9441950,10.128048,0.250000
69,78,3.741,-3.1913090,55.9454130,-3.1912530,55.9454020,10.736591,0.500000
70,76,48.147,-3.1912950,55.9441950,-3.1912610,55.9446270,10.153164,0.250000
71,77,1.751,-3.1912860,55.9468360,-3.1912580,55.9468340,11.968094,0.375000
72,91,6.954,-3.1912830,55.9470930,-3.1911790,55.9471150,11.387948,0.375000
72,97,27.392,-3.1912830,55.9470930,-3.1911340,55.9468610,10.491984,0.500000
73,78,3.056,-3.1912790,55.9453790,-3.1912530,55.9454020,10.771926,0.500000
75,110,13.092,-3.1912720,55.9460130,-3.1910620,55.9460040,9.472032,0.375000
76,80,30.373,-3.1912610,55.9446270,-3.1912410,55.9449000,8.839098,0.500000
77,83,1.760,-3.1912580,55.9468340,-3.1912300,55.9468370,11.617563,0.375000
78,79,0.738,-3.1912530,55.9454020,-3.1912420,55.9453990,10.276234,0.500000
78,82,4.135,-3.1912530,55.9454020,-3.1912310,55.9454370,10.025741,0.500000
79,94,5.876,-3.1912420,55.9453990,-3.1911550,55.9453780,9.592754,0.375000
80,81,10.345,-3.1912410,55.9449000,-3.1912320,55.9449930,8.699876,0.500000
80,122,15.882,-3.1912410,55.9449000,-3.1909960,55.9449400,10.483250,0.500000
81,86,27.798,-3.1912320,55.9449930,-3.1912100,55.9452430,10.637795,0.375000
82,85,4.140,-3.1912310,55.9454370,-3.1912120,55.9454730,11.288478,0.250000
83,87,1.781,-3.1912300,55.9468370,-3.1912030,55.9468420,12.046227,0.250000
84,90,7.118,-3.1912270,55.9478470,-3.1911860,55.9477870,11.083465,0.250000
85,89,5.905,-3.1912120,55.9454730,-3.1911900,55.9455240,9.965376,0.375000
86,88,3.020,-3.1912100,55.9452430,-3.1911970,55.9452690,10.391368,0.500000
86,103,6.395,-3.1912100,55.9452430,-3.1911140,55.9452630,9.686724,0.500000
87,97,4.764,-3.1912030,55.9468420,-3.1911340,55.9468610,10.673717,0.375000
88,101,5.215,-3.1911970,55.9452690,-3.1911160,55.9452810,9.147279,0.625000
89,92,7.616,-3.1911900,55.9455240,-3.1911600,55.9455910,8.441830,0.500000
90,106,6.370,-3.1911860,55.9477870,-3.1910910,55.9478090,12.110404,0.250000
91,123,12.547,-3.1911790,55.9471150,-3.1909930,55.9471580,10.698538,0.500000
92,93,3.806,-3.1911600,55.9455910,-3.1911570,55.9455570,11.283392,0.375000
92,110,46.359,-3.1911600,55.9455910,-3.1910620,55.9460040,9.980171,0.500000
93,95,3.442,-3.1911570,55.9455570,-3.1911480,55.9455260,11.608578,0.250000
94,96,2.840,-3.1911550,55.9453780,-3.1911390,55.9453540,10.203717,0.375000
94,105,6.697,-3.1911550,55.9453780,-3.1910910,55.9454260,10.170156,0.375000
95,98,3.210,-3.1911480,55.9455260,-3.1911330,55.9454980,10.792202,0.250000
96,99,3.481,-3.1911390,55.9453540,-3.1911200,55.9453250,9.884742,0.500000
97,107,8.601,-3.1911340,55.9468610,-3.1910880,55.9467880,10.251250,0.500000
98,102,2.816,-3.1911330,55.9454980,-3.1911150,55.9454750,12.177116,0.250000
99,100,3.886,-3.1911200,55.9453250,-3.1911170,55.9452900,10.275308,0.500000
99,109,3.359,-3.1911200,55.9453250,-3.1910680,55.9453320,8.481238,0.500000
