sid,node_id,lon,lat,slots
0,521,-3.1869680,55.9453700,2
1,142,-3.1907410,55.9474550,2
2,339,-3.1882780,55.9468850,2
3,84,-3.1912270,55.9478470,2
4,513,-3.1870420,55.9449320,2
5,389,-3.1879350,55.9468820,2
