tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
71,295.500,579,-3.1865980,55.9474580,40.3574,656.501,DONE,5,363.000,232.412
72,296.500,208,-3.1900120,55.9450860,12.9652,625.175,DONE,2,492.000,105.243
73,297.000,237,-3.1895570,55.9456290,6.1304,696.017,DONE,5,321.000,37.207
74,298.000,477,-3.1875150,55.9461700,33.2721,608.213,DONE,5,339.500,126.132
75,302.500,467,-3.1875880,55.9478100,39.0269,698.192,DONE,5,385.500,226.742
76,303.500,253,-3.1893930,55.9458870,24.5606,677.650,DONE,5,317.000,63.211
77,311.500,250,-3.1894460,55.9465320,20.7878,676.777,DONE,3,354.500,42.095
78,318.000,132,-3.1909360,55.9463830,6.3228,676.771,DONE,1,428.500,21.042
79,331.500,243,-3.1894950,55.9458870,7.0023,556.870,DONE,1,417.000,69.581
80,332.500,467,-3.1875880,55.9478100,29.5784,721.877,DONE,3,434.500,344.571
81,337.000,204,-3.1900450,55.9455360,25.1875,655.176,DONE,3,370.000,52.721
82,337.500,255,-3.1893910,55.9458090,23.9255,586.310,DONE,3,365.000,113.936
83,338.500,73,-3.1912790,55.9453790,21.1675,686.728,DONE,3,379.000,85.491
84,345.500,504,-3.1871120,55.9455480,40.8027,635.123,DONE,3,470.500,167.743
85,346.000,509,-3.1870770,55.9453260,7.7135,635.552,DONE,1,491.500,236.314
86,352.500,448,-3.1876950,55.9467030,16.1528,732.335,DONE,2,419.000,32.565
87,363.000,344,-3.1882540,55.9465270,17.0459,643.922,DONE,2,455.000,107.311
88,364.500,573,-3.1866370,55.9479680,39.1825,718.761,DONE,0,501.500,208.014
89,367.500,88,-3.1911970,55.9452690,12.7051,643.322,DONE,2,479.500,33.128
90,369.000,483,-3.1873830,55.9459810,18.3780,654.587,DONE,2,444.000,134.064
91,371.000,127,-3.1909560,55.9454060,15.2265,631.925,DONE,2,476.000,220.933
92,374.000,49,-3.1915680,55.9448880,35.8014,584.771,DONE,0,434.500,117.199
93,376.000,274,-3.1891330,55.9474490,31.1478,747.789,DONE,0,480.500,215.742
94,376.500,479,-3.1874790,55.9465260,30.9020,756.565,DONE,2,421.500,25.024
95,377.500,418,-3.1878020,55.9449190,12.4864,652.448,DONE,1,501.500,102.319
96,379.000,463,-3.1876260,55.9452190,39.0484,606.453,DONE,0,547.500,453.292
97,388.500,12,-3.1948230,55.9449740,7.8739,675.938,DONE,1,555.000,500.658
98,391.500,186,-3.1901980,55.9452790,32.1521,685.121,DONE,0,422.000,174.599
99,395.000,479,-3.1874790,55.9465260,28.5938,677.818,DONE,2,422.000,0.000
100,397.500,358,-3.1881370,55.9466820,10.8241,609.593,DONE,2,415.500,81.330
101,401.000,137,-3.1908360,55.9465630,36.8723,669.932,DONE,0,457.500,231.422
102,405.500,156,-3.1906500,55.9464580,6.6164,742.722,DONE,1,426.500,95.928
103,406.000,352,-3.1881910,55.9469030,30.3638,630.401,DONE,2,429.500,79.831
104,408.500,273,-3.1891410,55.9451180,26.5765,756.388,DONE,2,498.000,64.225
105,410.500,169,-3.1905480,55.9472600,12.4883,693.297,DONE,1,443.500,152.465
106,420.500,552,-3.1867660,55.9475040,31.9225,739.915,DONE,5,590.500,301.454
107,421.000,242,-3.1895030,55.9456500,8.3656,711.772,DONE,5,465.000,96.297
108,425.000,585,-3.1864770,55.9479950,28.5610,639.107,DONE,5,561.000,275.416
109,429.500,232,-3.1896510,55.9472490,25.9622,649.826,DONE,3,636.500,338.177
110,434.500,114,-3.1910210,55.9471940,26.7433,823.161,DONE,5,528.000,421.423
111,442.500,540,-3.1868520,55.9476630,32.3169,681.943,DONE,5,593.000,20.523
112,445.500,302,-3.1886100,55.9450730,39.9110,806.143,DONE,5,487.000,222.787
113,446.500,171,-3.1905420,55.9473940,39.0798,663.525,DONE,5,534.000,53.412
114,458.500,10,-3.1949960,55.9448470,16.0148,725.915,DONE,2,795.000,635.659
115,478.000,293,-3.1887200,55.9460390,28.2844,853.210,DONE,4,539.500,96.891
116,478.500,467,-3.1875880,55.9478100,40.4527,864.897,DONE,4,572.500,241.326
117,481.000,383,-3.1879620,55.9466290,12.4919,742.147,DONE,2,568.000,42.440
118,483.500,228,-3.1897310,55.9456550,25.5316,832.021,DONE,3,542.500,34.979
119,489.000,403,-3.1878690,55.9463640,29.8111,885.697,DONE,4,547.500,9.663
120,492.500,462,-3.1876280,55.9450880,15.6932,738.636,DONE,2,725.500,204.120
121,494.000,86,-3.1912100,55.9452430,20.2239,820.725,DONE,2,688.000,388.371
122,500.000,306,-3.1885450,55.9464690,9.1095,774.138,DONE,2,564.000,34.229
123,502.000,45,-3.1916340,55.9452620,9.7415,756.535,DONE,2,693.000,45.889
124,502.500,491,-3.1872350,55.9468020,16.5007,744.722,DONE,2,600.000,96.583
125,503.500,554,-3.1867540,55.9475850,41.4948,712.754,DONE,4,596.500,237.757
126,507.000,490,-3.1872350,55.9460150,17.4251,751.675,DONE,3,600.000,110.442
127,507.500,375,-3.1879950,55.9464050,38.0999,731.629,DONE,4,546.500,69.464
128,510.500,447,-3.1876960,55.9463210,20.8301,903.083,DONE,2,582.500,140.709
129,514.500,421,-3.1877880,55.9454230,26.2827,766.611,DONE,3,588.000,71.311
130,519.000,223,-3.1898000,55.9456220,41.2930,908.853,DONE,4,530.000,106.457
131,520.000,238,-3.1895320,55.9459050,29.1765,913.434,DONE,3,539.000,72.583
132,527.000,101,-3.1911160,55.9452810,25.3085,779.331,DONE,3,553.000,98.196
133,528.000,442,-3.1877090,55.9467000,12.9660,736.470,DONE,2,590.500,79.010
134,531.000,161,-3.1906250,55.9476060,30.4614,783.293,DONE,3,653.500,160.490
135,531.500,418,-3.1878020,55.9449190,39.4835,880.097,DONE,3,581.000,275.981
136,533.000,188,-3.1901600,55.9450750,9.6297,738.280,DONE,2,706.500,127.596
