u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
23,25,28.628,-3.1926960,55.9475920,-3.1922920,55.9474690,9.787958,0.375000
24,74,94.490,-3.1926780,55.9461200,-3.1912770,55.9464470,12.492439,0.125000
25,26,3.501,-3.1922920,55.9474690,-3.1922650,55.9474970,11.933317,0.375000
25,30,13.049,-3.1922920,55.9474690,-3.1921090,55.9474120,10.060827,0.375000
26,27,4.244,-3.1922650,55.9474970,-3.1922250,55.9475280,12.716421,0.250000
27,28,3.933,-3.1922250,55.9475280,-3.1921800,55.9475530,12.627055,0.250000
28,29,4.072,-3.1921800,55.9475530,-3.1921260,55.9475730,12.867233,0.250000
29,31,4.440,-3.1921260,55.9475730,-3.1920620,55.9475910,10.658302,0.250000
30,34,18.063,-3.1921090,55.9474120,-3.1918730,55.9473180,10.164737,0.250000
31,90,58.739,-3.1920620,55.9475910,-3.1911860,55.9477870,9.205774,0.375000
32,33,3.651,-3.1919440,55.9460510,-3.1918910,55.9460370,12.135194,0.125000
33,36,3.850,-3.1918910,55.9460370,-3.1918320,55.9460280,11.673167,0.250000
34,35,2.159,-3.1918730,55.9473180,-3.1918450,55.9473060,11.844706,0.250000
35,37,1.780,-3.1918450,55.9473060,-3.1918240,55.9472950,12.855877,0.250000
36,40,4.650,-3.1918320,55.9460280,-3.1917580,55.9460230,12.795823,0.250000
37,38,1.634,-3.1918240,55.9472950,-3.1918060,55.9472840,11.457137,0.250000
38,64,54.337,-3.1918060,55.9472840,-3.1913420,55.9468710,10.194876,0.250000
39,42,4.040,-3.1917580,55.9452050,-3.1916940,55.9452120,10.908843,0.250000
40,43,4.937,-3.1917580,55.9460230,-3.1916790,55.9460200,10.169375,0.250000
41,49,8.048,-3.1916940,55.9448710,-3.1915680,55.9448880,14.060484,0.125000
42,88,31.583,-3.1916940,55.9452120,-3.1911970,55.9452690,9.704167,0.375000
43,44,2.497,-3.1916790,55.9460200,-3.1916380,55.9460200,12.385006,0.250000
44,47,2.242,-3.1916380,55.9460200,-3.1916030,55.9460190,11.038956,0.250000
45,57,14.139,-3.1916340,55.9452620,-3.1914280,55.9453160,11.524841,0.250000
45,99,32.733,-3.1916340,55.9452620,-3.1911200,55.9453250,9.475968,0.500000
46,72,65.644,-3.1916170,55.9476530,-3.1912830,55.9470930,10.194575,0.250000
47,53,5.524,-3.1916030,55.9460190,-3.1915140,55.9460200,11.532242,0.250000
48,50,3.041,-3.1915810,55.9466540,-3.1915610,55.9466790,13.112400,0.125000
49,80,20.455,-3.1915680,55.9448880,-3.1912410,55.9449000,8.765941,0.500000
50,51,2.472,-3.1915610,55.9466790,-3.1915520,55.9467010,11.552344,0.375000
51,54,4.113,-3.1915520,55.9467010,-3.1914940,55.9467190,11.215522,0.375000
51,74,32.987,-3.1915520,55.9467010,-3.1912770,55.9464470,10.333347,0.375000
52,56,7.722,-3.1915440,55.9453350,-3.1914350,55.9453670,10.982350,0.250000
53,55,3.549,-3.1915140,55.9460200,-3.1914570,55.9460200,13.247342,0.250000
54,60,9.378,-3.1914940,55.9467190,-3.1913640,55.9467610,12.278439,0.250000
55,59,3.966,-3.1914570,55.9460200,-3.1913930,55.9460180,11.636188,0.250000
56,62,6.048,-3.1914350,55.9453670,-3.1913530,55.9453970,11.864274,0.250000
57,61,4.964,-3.1914280,55.9453160,-3.1913610,55.9453390,10.938246,0.250000
58,63,108.379,-3.1914220,55.9426000,-3.1913440,55.9435730,12.585402,0.125000
59,75,7.585,-3.1913930,55.9460180,-3.1912720,55.9460130,11.043003,0.250000
60,77,10.485,-3.1913640,55.9467610,-3.1912580,55.9468340,11.679059,0.375000
61,66,3.607,-3.1913610,55.9453390,-3.1913160,55.9453600,11.789653,0.250000
62,65,2.948,-3.1913530,55.9453970,-3.1913250,55.9454180,10.685900,0.375000
63,68,41.595,-3.1913440,55.9435730,-3.1913140,55.9439470,10.652314,0.250000
64,67,2.800,-3.1913420,55.9468710,-3.1913150,55.9468500,11.437368,0.250000
65,69,1.142,-3.1913250,55.9454180,-3.1913090,55.9454130,10.523374,0.375000
65,89,14.510,-3.1913250,55.9454180,-3.1911900,55.9455240,9.897013,0.500000
66,73,3.082,-3.1913160,55.9453600,-3.1912790,55.9453790,11.653806,0.250000
67,71,2.405,-3.1913150,55.9468500,-3.1912860,55.9468360,11.844969,0.250000
68,70,27.558,-3.1913140,55.9439470,-3.1912950,55.9441950,13.180125,0.250000
69,78,3.741,-3.1913090,55.9454130,-3.1912530,55.9454020,9.551077,0.500000
70,76,48.147,-3.1912950,55.9441950,-3.1912610,55.9446270,10.921862,0.250000
71,77,1.751,-3.1912860,55.9468360,-3.1912580,55.9468340,11.708776,0.375000
72,91,6.954,-3.1912830,55.9470930,-3.1911790,55.9471150,11.541416,0.375000
72,97,27.392,-3.1912830,55.9470930,-3.1911340,55.9468610,9.149269,0.500000
73,78,3.056,-3.1912790,55.9453790,-3.1912530,55.9454020,8.181062,0.500000
75,110,13.092,-3.1912720,55.9460130,-3.1910620,55.9460040,10.427493,0.375000
76,80,30.373,-3.1912610,55.9446270,-3.1912410,55.9449000,8.697440,0.500000
77,83,1.760,-3.1912580,55.9468340,-3.1912300,55.9468370,11.302366,0.375000
78,79,0.738,-3.1912530,55.9454020,-3.1912420,55.9453990,9.308248,0.500000
78,82,4.135,-3.1912530,55.9454020,-3.1912310,55.9454370,8.214080,0.500000
79,94,5.876,-3.1912420,55.9453990,-3.1911550,55.9453780,10.164129,0.375000
80,81,10.345,-3.1912410,55.9449000,-3.1912320,55.9449930,9.189871,0.500000
80,122,15.882,-3.1912410,55.9449000,-3.1909960,55.9449400,9.102542,0.500000
81,86,27.798,-3.1912320,55.9449930,-3.1912100,55.9452430,9.837504,0.375000
82,85,4.140,-3.1912310,55.9454370,-3.1912120,55.9454730,13.235669,0.250000
83,87,1.781,-3.1912300,55.9468370,-3.1912030,55.9468420,10.560910,0.250000
84,90,7.118,-3.1912270,55.9478470,-3.1911860,55.9477870,10.840968,0.250000
85,89,5.905,-3.1912120,55.9454730,-3.1911900,55.9455240,10.049944,0.375000
86,88,3.020,-3.1912100,55.9452430,-3.1911970,55.9452690,9.616462,0.500000
86,103,6.395,-3.1912100,55.9452430,-3.1911140,55.9452630,10.520977,0.500000
87,97,4.764,-3.1912030,55.9468420,-3.1911340,55.9468610,10.447227,0.375000
88,101,5.215,-3.1911970,55.9452690,-3.1911160,55.9452810,8.937503,0.625000
89,92,7.616,-3.1911900,55.9455240,-3.1911600,55.9455910,10.564194,0.500000
90,106,6.370,-3.1911860,55.9477870,-3.1910910,55.9478090,12.980883,0.250000
91,123,12.547,-3.1911790,55.9471150,-3.1909930,55.9471580,9.727854,0.500000
92,93,3.806,-3.1911600,55.9455910,-3.1911570,55.9455570,11.883947,0.375000
