sid,node_id,lon,lat,slots
0,190,-3.1901450,55.9450560,2
1,63,-3.1913440,55.9435730,2
2,45,-3.1916340,55.9452620,2
3,433,-3.1877400,55.9466930,2
4,587,-3.1864530,55.9463650,2
5,404,-3.1878660,55.9474880,2
6,70,-3.1912950,55.9441950,2
7,14,-3.1942410,55.9449260,2
